Orthogroup,Leersia_perrieri,Oryza_barthii,Oryza_brachyantha,Oryza_glaberrima,Oryza_glumaepatula,Oryza_meridionalis,Oryza_nivara,Oryza_punctata,Oryza_rufipogon,Oryza_sativa_IR8,Oryza_sativa_N22,Oryza_sativa_vg_indica,Oryza_sativa_vg_japonica,Total
OG0003369,4,3,3,1,1,0,2,1,2,3,1,3,3,27
OG0003370,1,2,6,2,2,3,1,1,4,1,1,1,2,27
OG0003371,2,2,0,2,3,2,3,5,2,1,1,2,2,27
OG0003372,2,3,2,2,2,2,2,2,2,2,1,3,2,27
OG0003373,3,2,3,2,2,2,2,3,1,2,2,1,2,27
OG0003374,3,1,1,1,4,1,2,2,3,2,2,1,4,27
OG0003375,3,2,2,2,2,2,1,4,1,2,1,2,3,27
OG0003376,1,2,2,2,2,3,2,2,2,3,2,2,2,27
OG0003377,1,1,2,1,2,1,1,3,4,3,4,1,3,27
OG0003378,1,5,0,2,2,0,3,3,1,2,1,1,6,27
OG0003379,2,2,1,2,2,1,4,1,3,4,2,1,2,27
OG0003380,2,3,2,2,2,2,1,3,3,1,3,1,2,27
OG0003381,5,1,0,2,1,3,4,2,2,2,2,1,2,27
OG0003382,3,2,1,2,1,2,5,2,2,2,2,1,2,27
OG0003383,2,1,1,1,2,3,4,1,4,2,2,1,3,27
OG0003384,3,2,4,2,1,1,1,3,2,2,3,1,2,27
OG0003385,3,1,1,1,2,1,3,1,1,5,4,2,2,27
OG0003386,2,2,3,2,2,2,2,2,2,2,2,2,2,27
OG0003388,1,3,1,3,1,1,4,2,2,2,2,3,2,27
OG0003389,3,2,2,2,2,1,2,2,2,3,2,2,2,27
OG0003390,3,1,1,2,1,2,3,1,4,1,3,3,2,27
OG0003391,1,2,3,2,3,3,2,1,2,3,1,2,2,27
OG0003392,5,2,2,2,3,1,3,1,1,1,3,1,2,27
OG0003393,2,3,1,2,2,1,2,0,4,4,3,2,1,27
OG0003394,1,4,1,0,1,1,1,3,1,6,4,3,1,27
OG0003395,1,3,2,2,2,1,3,3,3,1,2,2,2,27
OG0003396,3,2,1,2,2,2,4,1,3,1,1,1,4,27
OG0003397,2,2,3,2,2,2,2,2,2,2,2,2,2,27
OG0003398,2,2,3,2,2,2,2,2,2,2,2,2,2,27
OG0003399,2,2,3,3,2,2,2,2,2,2,1,2,2,27
OG0003400,2,1,6,1,1,2,2,3,1,3,3,1,1,27
OG0003401,3,2,2,2,2,2,2,3,2,2,1,2,2,27
OG0003402,2,2,3,2,1,1,2,2,2,3,3,2,2,27
OG0003403,3,2,3,2,2,3,2,2,3,0,2,1,2,27
OG0003404,1,2,1,2,2,2,2,2,2,0,7,2,2,27
OG0003405,1,2,1,2,3,3,1,1,3,3,3,2,2,27
OG0003407,2,2,2,2,3,2,2,2,2,2,2,2,2,27
OG0003408,1,2,2,2,2,1,2,2,3,2,3,2,3,27
OG0003409,2,2,2,2,2,2,2,2,2,2,3,2,2,27
OG0003410,2,2,1,3,3,1,1,5,2,2,2,1,2,27
OG0003411,1,2,4,1,3,0,6,1,1,2,0,2,4,27
OG0003412,3,2,2,2,2,2,2,2,2,2,2,2,2,27
OG0003413,1,1,4,1,3,2,3,2,3,2,1,2,2,27
OG0003414,1,4,2,2,2,4,2,1,2,2,1,2,2,27
OG0003415,2,6,3,2,4,1,1,1,2,1,1,1,2,27
OG0003416,2,2,2,2,2,2,2,2,3,2,2,2,2,27
OG0003417,3,2,2,1,4,5,2,0,3,1,1,1,2,27
OG0003418,1,1,3,1,1,3,1,1,4,5,4,1,1,27
OG0003419,1,2,2,2,3,2,3,2,2,2,2,1,3,27
OG0003420,2,2,2,1,2,2,3,1,3,1,1,1,6,27
OG0003421,3,1,2,2,2,2,2,2,2,3,3,2,1,27
OG0003422,1,4,2,1,3,6,2,1,1,2,2,1,1,27
OG0003423,2,1,2,1,3,1,3,1,1,2,3,1,6,27
OG0003424,1,1,2,0,1,1,5,1,4,5,4,1,1,27
OG0003425,3,2,2,2,2,2,2,2,3,1,2,2,2,27
OG0003426,2,1,3,1,2,1,2,2,2,5,2,1,3,27
OG0003428,2,3,4,0,4,1,3,2,2,1,1,2,2,27
OG0003429,3,1,1,3,1,3,3,1,1,3,4,1,2,27
OG0003430,2,2,2,2,1,2,2,2,3,3,1,2,3,27
OG0003431,3,3,1,3,2,1,1,1,4,3,3,1,1,27
OG0003432,1,2,2,2,2,4,2,2,2,4,0,2,2,27
OG0003433,3,1,0,3,1,4,2,2,2,0,0,3,6,27
OG0003434,1,2,4,2,2,6,1,2,1,2,2,1,1,27
OG0003435,2,2,1,2,1,3,3,3,2,2,2,2,2,27
OG0003436,1,2,2,3,4,1,2,1,3,1,2,3,2,27
OG0003437,1,1,2,1,2,2,1,2,4,2,2,3,4,27
OG0003438,1,2,0,3,2,5,2,2,2,2,2,2,2,27
OG0003439,2,1,3,1,3,3,1,3,1,4,2,1,2,27
OG0003440,2,2,2,2,3,2,2,2,2,2,2,2,2,27
OG0003442,2,2,2,1,2,3,2,2,2,3,2,2,2,27
OG0003443,3,1,0,1,2,7,2,1,1,4,2,1,2,27
OG0003444,2,2,2,3,3,1,1,3,1,3,1,2,3,27
OG0003445,1,3,0,2,3,3,1,0,2,2,3,3,4,27
